sell,buy,installment,tgl
1840675,1794658,1840675,2025-05-21
1817679,1772237,1817679,2025-05-20
1840319,1794311,1840319,2025-05-19
1836592,1790677,1836592,2025-05-18
1836592,1790677,1836592,2025-05-17
1837102,1791174,1837102,2025-05-16
1813442,1768105,1813442,2025-05-15
1837283,1791350,1837283,2025-05-14
1867209,1820528,1867209,2025-05-13
1887104,1839926,1887104,2025-05-12
1887097,1839919,1887097,2025-05-11
1887097,1839919,1887097,2025-05-10
1887583,1840393,1887583,2025-05-09
1911532,1863743,1911532,2025-05-08
1918730,1870761,1918730,2025-05-07
1897811,1850365,1897811,2025-05-06
1870567,1823802,1870567,2025-05-05
1877481,1830543,1877481,2025-05-04
1877481,1830543,1877481,2025-05-03
1878162,1831207,1878162,2025-05-02
1947086,1898408,1947086,2025-05-01
1948151,1899447,1948151,2025-04-30
1959207,1910226,1959207,2025-04-29
1968129,1918925,1968129,2025-04-28
2017125,1966696,2017125,2025-04-27
2017125,1966696,2017125,2025-04-26
2017658,1967216,2017658,2025-04-25
2047664,1996472,2047664,2025-04-24
2049393,1998158,2049393,2025-04-23
2059904,2008406,2059904,2025-04-22
2022092,1971539,2022092,2025-04-21
1992025,1942224,1992025,2025-04-19
1992009,1942208,1992009,2025-04-18
1991959,1942160,1991959,2025-04-17
1927332,1879148,1927332,2025-04-16
1866349,1819690,1866349,2025-04-15
1868793,1822073,1868793,2025-04-14
1856869,1810447,1856869,2025-04-13
1856869,1810447,1856869,2025-04-12
1856112,1809709,1856112,2025-04-11
1809968,1764718,1809968,2025-04-10
1750178,1706423,1750178,2025-04-09
1725931,1682782,1725931,2025-04-08
1870233,1795423,1870233,2025-04-07
1872629,1797723,1872629,2025-04-06
1872629,1797723,1872629,2025-04-05
1873170,1798243,1873170,2025-04-04
1857646,1712749,1857646,2025-04-03
1758762,1714792,1758762,2025-04-02
1759857,1715860,1759857,2025-04-01
1758887,1714914,1758887,2025-03-31
1758948,1714974,1758948,2025-03-30
1758948,1714974,1758948,2025-03-29
1758027,1714076,1758027,2025-03-28
1735883,1692485,1735883,2025-03-27
1727939,1684740,1727939,2025-03-26
1714920,1672047,1714920,2025-03-25
1720885,1677862,1720885,2025-03-24
1736627,1693211,1736627,2025-03-23
1736627,1693211,1736627,2025-03-22
1736198,1692793,1736198,2025-03-21
1731943,1688644,1731943,2025-03-20
1716543,1673629,1716543,2025-03-19
1701553,1659014,1701553,2025-03-18
1696763,1654343,1696763,2025-03-17
1700924,1658400,1700924,2025-03-16
1700924,1658400,1700924,2025-03-15
1700448,1657936,1700448,2025-03-14
1676723,1634804,1676723,2025-03-13
1665479,1623842,1665479,2025-03-12
1643464,1602377,1643464,2025-03-11
1657218,1615787,1657218,2025-03-10
1655014,1613638,1655014,2025-03-09
1655014,1613638,1655014,2025-03-08
1654794,1613424,1654794,2025-03-07
1666926,1625252,1666926,2025-03-06
1670145,1628391,1670145,2025-03-05
1665407,1623771,1665407,2025-03-04
1648342,1607133,1648342,2025-03-03
1647776,1606581,1647776,2025-03-02
1647776,1606581,1647776,2025-03-01
1647222,1606041,1647222,2025-02-28
1649703,1608460,1649703,2025-02-27
1652404,1611093,1652404,2025-02-26
1665072,1623445,1665072,2025-02-25
1663761,1622166,1663761,2025-02-24
1667493,1625805,1667493,2025-02-23
1667493,1625805,1667493,2025-02-22
1667046,1625369,1667046,2025-02-21
1668346,1626637,1668346,2025-02-20
1650524,1609260,1650524,2025-02-19
1638454,1597492,1638454,2025-02-18
1629286,1588553,1629286,2025-02-17
1652663,1611346,1652663,2025-02-16
1652663,1611346,1652663,2025-02-15
1652351,1611042,1652351,2025-02-14
1644453,1603341,1644453,2025-02-13
1636354,1595445,1636354,2025-02-12
1636054,1595152,1636054,2025-02-11
1612289,1571981,1612289,2025-02-10
1603534,1563445,1603534,2025-02-09
1603534,1563445,1603534,2025-02-08
1604097,1563994,1604097,2025-02-07
1613873,1573526,1613873,2025-02-06
1606072,1565920,1606072,2025-02-05
1595044,1555167,1595044,2025-02-04
1566296,1527138,1566296,2025-02-03
1551670,1512878,1551670,2025-02-02
1551670,1512878,1551670,2025-02-01
1552181,1513376,1552181,2025-01-31
1551993,1513193,1551993,2025-01-30
1551384,1512599,1551384,2025-01-29
1551792,1512997,1551792,2025-01-28
1551712,1512919,1551712,2025-01-27
1551375,1512590,1551375,2025-01-26
1551375,1512590,1551375,2025-01-25
1551836,1513040,1551836,2025-01-24
1550752,1511983,1550752,2025-01-23
1549817,1511071,1549817,2025-01-22
1534935,1496561,1534935,2025-01-21
1529741,1491497,1529741,2025-01-20
1538296,1499838,1538296,2025-01-19
1538296,1499838,1538296,2025-01-18
1538789,1500319,1538789,2025-01-17
1525943,1487794,1525943,2025-01-16
1512811,1474990,1512811,2025-01-15
1509699,1471956,1509699,2025-01-14
1518659,1480692,1518659,2025-01-13
1506358,1468699,1506358,2025-01-12
1506358,1468699,1506358,2025-01-11
1506789,1469119,1506789,2025-01-10
1499725,1462231,1499725,2025-01-09
1494738,1457369,1494738,2025-01-08
1489687,1452444,1489687,2025-01-07
1495505,1458117,1495505,2025-01-06
1498119,1460666,1498119,2025-01-05
1498119,1460666,1498119,2025-01-04
1498615,1461149,1498615,2025-01-03
1484737,1447618,1484737,2025-01-02
1488127,1450923,1488127,2025-01-01
1488050,1450848,1488050,2024-12-31
1488491,1451278,1488491,2024-12-30
1488075,1450873,1488075,2024-12-29
1488075,1450873,1488075,2024-12-28
1488511,1451298,1488511,2024-12-27
1476685,1439767,1476685,2024-12-26
1476146,1439242,1476146,2024-12-25
1476586,1439671,1476586,2024-12-24
1486519,1449356,1486519,2024-12-23
1474215,1437359,1474215,2024-12-22
1474215,1437359,1474215,2024-12-21
1474646,1437779,1474646,2024-12-20
1463676,1427084,1463676,2024-12-19
1479629,1442638,1479629,2024-12-18
1479629,1442638,1479629,2024-12-17
1476660,1439743,1476660,2024-12-16
1491087,1453809,1491087,2024-12-15
1491087,1453809,1491087,2024-12-14
1491562,1454272,1491562,2024-12-13
1508511,1470798,1508511,2024-12-12
1494722,1457353,1494722,2024-12-11
1478687,1441719,1478687,2024-12-10
1464711,1428093,1464711,2024-12-09
1483925,1446826,1483925,2024-12-08
1483925,1446826,1483925,2024-12-07
1484337,1447228,1484337,2024-12-06
1484363,1447253,1484363,2024-12-05
1475570,1438680,1475570,2024-12-04
1477532,1440593,1477532,2024-12-03
1472537,1435723,1472537,2024-12-02
1474054,1437202,1474054,2024-12-01
1474054,1437202,1474054,2024-11-30
1474510,1437647,1474510,2024-11-29
1478430,1441469,1478430,2024-11-28
1471524,1434735,1471524,2024-11-27
1471434,1434648,1471434,2024-11-26
1495276,1457894,1495276,2024-11-25
1481381,1444346,1481381,2024-11-24
1481381,1444346,1481381,2024-11-23
1481736,1444692,1481736,2024-11-22
1471623,1434832,1471623,2024-11-21
1439786,1403791,1439786,2024-11-20
1453538,1417199,1453538,2024-11-19
1442515,1406452,1442515,2024-11-18
1445881,1409733,1445881,2024-11-17
1445881,1409733,1445881,2024-11-16
1446379,1410219,1446379,2024-11-15
1442337,1406278,1442337,2024-11-14
1462271,1425714,1462271,2024-11-13
1452378,1416068,1452378,2024-11-12
1483224,1446143,1483224,2024-11-11
1489957,1452708,1489957,2024-11-10
1489957,1452708,1489957,2024-11-09
1490394,1453134,1490394,2024-11-08
1477493,1440555,1477493,2024-11-07
1504320,1466712,1504320,2024-11-06
1500707,1463189,1500707,2024-11-05
1500726,1463207,1500726,2024-11-04
1503271,1465689,1503271,2024-11-03
1503271,1465689,1503271,2024-11-02
1503719,1466126,1503719,2024-11-01
1518503,1480540,1518503,2024-10-31
1511738,1473944,1511738,2024-10-30
1486951,1449777,1486951,2024-10-29
1478835,1441864,1478835,2024-10-28
1473427,1436591,1473427,2024-10-27
1473427,1436591,1473427,2024-10-26
1473757,1436913,1473757,2024-10-25
1461805,1425259,1461805,2024-10-24
1467842,1431145,1467842,2024-10-23
1455836,1419440,1455836,2024-10-22
1458769,1422299,1458769,2024-10-21
1455509,1419121,1455509,2024-10-20
1455509,1419121,1455509,2024-10-19
1455066,1418689,1455066,2024-10-18
